,name,skills,category,country,rating,reviews,price
36,Alex Mitchell,"['Product', 'Product manager', 'interview', 'Startup', 'Tech', 'media', 'Technology', 'interview', 'pm', 'project manager', 'Product Management', 'interview prep', 'mock interview', 'Product interview', 'Startup interview', 'Product market fit', 'Product pricing', 'associate Product manager', 'junior Product manager', 'new Product manager', 'b2b', 'b2c', 'mobile apps', 'iOS', 'Android']",,United States of America,5.0,12.0,
37,Bhumi S,"['Web Development', 'JavaScript', 'Rails', 'CS Fundamentals', 'Career', 'Product Design', 'MySQL', 'Java', 'Ruby', 'HTML', 'CSS', 'Git', 'Heroku', 'DigitalOcean', 'Backend', 'React']",,United States of America,5.0,42.0,
38,Adnan iMentor,"['Cloud Computing', 'Cloud Security', 'cyber Security', 'information Security', 'Career Development', 'cissp', 'Security+', 'Network+', 'AWS', 'GRC', 'compliance', 'iso27001', 'nist', 'auditing', 'Security engineer', 'cloud engineer', 'Cyber Security Training', 'how to become a Security analyst', 'cloud mentor', 'Cybersecurity', 'Career mentor', 'Tech mentor', 'mentorship', 'mentorship program', 'Career Growth', 'Career Coaching', 'Career', 'Interview', 'Coaching', 'Interviews']",,United States of America,4.2,6.0,
39,Christian Monson,"['Machine Learning', 'Natural Language Processing', 'Data Science', 'Speech Recognition', 'Keras', 'Data', 'Tensorflow', 'PyTorch', 'Python']",,United States of America,4.6,5.0,
40,Francisco Depascuali,"['iOS', 'Swift', 'React Native', 'RxSwift', 'mobile', 'Combine', 'MVVM', 'Typescript', 'Python', 'Typescript', 'JavaScript', 'React-Native', 'React', 'ReactJS']",,Argentina,,,
41,Stephen Gabriel,"['Machine Learning', 'Data Science', 'Python', 'Deep Learning', 'NLP', 'Tensorflow', 'AWS', 'Django', 'Flask', 'Apache', 'Spark', 'Data engineer', 'Data Engineering', 'PyTorch', 'dbt', 'Docker', 'Kubernetes', 'Golang', 'SQL', 'Web', 'DevOps']",,Nigeria,4.9,12.0,
42,Elias Awili,"['Product Design', 'User Experience', 'UI/UX', 'Prototyping', 'Design']",,Nigeria,,,
43,Tracy Pham,"['Natural Language Processing', 'Deep Learning', 'Machine Learning', 'NLP', 'Data Science', 'Artificial Intelligence', 'Data Analytics', 'Coding', 'PyTorch', 'Scikit-learn', 'Hugging Face', 'Chatbot', 'Text Classification', 'Text Generation', 'Summarization', 'Sentiment Analysis', 'Career', 'Consultant', 'Resume/CV', 'Product Development', 'Interview', 'Remote Working', 'Freelancing', 'Google Cloud Services', 'Model TrAIning', 'Model Deployment', 'Data', 'Interviews']",,Vietnam,5.0,14.0,
44,Greg Zen,"['Startups', 'Business Modeling', 'Growth', 'Marketing', 'Positioning', 'Branding', 'Design', 'Web', 'Mobile', 'Self-Improvement', 'User Experience', 'Sales', 'Hiring', 'Fundraising', 'Bootstrapping', 'Startup', 'UX Design']",,United States of America,5.0,4.0,
45,Ian Grabill,"['software Design', 'Prototyping', 'SaaS Products', 'Hiring', 'team building', 'Ruby on Rails', 'Heroku', 'Shopify', 'Shopify Apps', 'business Strategy', 'entrepreneur', 'software engineer', 'Startup', 'Product Management', 'Start up']",,United States of America,5.0,3.0,
